category,itemId,parentCategory,title,imageUrl,itemHashint64,upc,modifiedDate,createdDate,department,popularityIndex,brand,isActive
ACCESSORIES/MISC,115298,ELECTRICAL ACCESSORIES,WIRE 18 AWG WHITE 35 FEET GB,http://images.example.com/product/converted/000000/000000000000.jpg,20211613172483,032076053123,2013-02-08 10:09:30,2013-01-23 01:59:05,ROUGH ELECTRICAL,NULL,Gardner Bender,0
LIGHT BULBS-DECORATIVE,197854,LIGHT BULBS,6-Pack 40-Watt B Candelabra Base Soft White Decorative Incandescent Light Bulb,http://images.example.com/product/converted/046135/046135132018.jpg,28415818274620,046135132018,2013-02-08 10:10:02,2013-01-23 02:03:41,LIGHTING,NULL,SYLVANIA,0
FREESTAND GAS RANGES - GE,418431,FREE STANDING RANGES,PGS975SERSS 5.3CF GE GAS(363492),http://images.example.com/product/converted/000000/000000000000.jpg,30087048281435,067732079278,2013-02-08 10:11:35,2013-01-23 02:16:15,APPLIANCES,NULL,GE,0
PATIO ACCESSORIES,326929,PATIO FURNITURE,Collegiate Polyester Round Table Cover,http://images.example.com/product/converted/076903/076903075308.jpg,31348623559229,076903075308,2013-02-08 10:10:53,2013-01-23 02:10:25,OUTDOOR FASHIONS,NULL,Backyard Basics,0
LIVE NURSERY-PERENNIALS,418098,"ANNUALS, PERENNIALS & VEGETABLES",1.00 QT DIANTHUS PERENNIAL,http://images.example.com/product/converted/000000/000000000000.jpg,43220822426800,094392366615,2013-02-08 10:11:35,2013-01-23 02:16:10,NURSERY & GARDENING,NULL,Unbranded,0
STYLE SELECTIONS - VALANCES,36492,SOFT WINDOW,"15""L Blue Bernard Tailored Valance",http://images.example.com/product/converted/034086/034086638079.jpg,47007737787276,034086638079,2013-02-08 10:11:14,2013-01-23 01:53:33,WIND/WALLS,NULL,Style Selections,0
SOS FAUCETS,183276,SOS FAUCETS,"""CLEARFLO 1-1/2"""" DRN F/REVI""",http://images.example.com/product/converted/040688/040688551074.jpg,60410908313414,040688551074,2013-02-08 10:09:57,2013-01-23 02:02:59,FASHION PLUMBING,NULL,KOHLER,0
PLUMBING-SINK STRAINERS,103060,PLUMBING REPAIR SUPPLIES,Stainless Steel Sink Strainer with Twist and Lock Basket,http://images.example.com/product/converted/046224/046224920397.jpg,73160172796811,046224920397,2013-02-08 10:09:25,2013-01-23 01:58:23,ROUGH PLUMBING,NULL,Keeney Mfg. Co.,0
CUTLER HAMMER PANEL BOXES,185499,SWITCH GEAR & ACCESSORIES,30-Circuit 30-Space 150-Amp Main Breaker Load Center (Value Pack),http://images.example.com/product/converted/782114/782114894446.jpg,74411135135795,782114894446,2013-02-08 10:09:58,2013-01-23 02:03:06,ROUGH ELECTRICAL,NULL,Eaton,0
PLYWOOD - SANDED/FINISHED,261129,FINISHED PANELS,"15/32""4X8 CRAFTSMAN WDWORKING PNL",http://images.example.com/product/converted/081999/081999557249.jpg,74790397500614,081999557249,2013-02-08 10:10:28,2013-01-23 02:07:07,LUMBER,NULL,Craftsman,0
CEMENT/MASONRY - BRICK/BLOCK,1970,BRICK & BLOCK,"8""X8""X96"" PRECAST LINTEL",http://images.example.com/product/converted/000000/000000000000.jpg,84711147934817,094688000322,2013-02-08 10:10:02,2013-01-23 01:50:41,NURSERY & GARDENING,NULL,Unbranded,0
MASONRY COATINGS,70697,CEMENT & MASONRY,16 oz Eggshell Stucco Dry Pack,http://images.example.com/product/converted/748727/748727000407.jpg,95391470428201,748727000407,2013-02-08 10:11:59,2013-01-23 01:55:59,BUILDING MATERIALS,NULL,LaHabra,0
CHAIN AND ROPE ACCESSORIES,348548,"ROPE, CHAIN & TIEDOWNS","1/4""QCK LINK ZINC PLATED (-62853)",http://images.example.com/product/converted/071514/071514010090.jpg,96344214854771,020418180354,2013-02-08 10:11:04,2013-01-23 02:11:55,HARDWARE,NULL,Covert,0
NUMBERS AND LETTERS,367215,GENERAL HARDWARE,"11"" x 17"" Arkansas Sign",http://images.example.com/product/converted/000000/000000000000.jpg,98760422917472,032085343116,2013-02-08 10:11:15,2013-01-23 02:13:35,HARDWARE,NULL,WinCraft Sports,0
